,trial,n,r,SNR,mode,alpha,slices,beta,delta,gamma,max_iter,total budget,revealed,time,rel_error_sand,rel_error_tc_final
0,0,200,10,inf,kron_alt,2,2,0.66,4.0,0.7,10,86528,0.010816,597.8391671292484,0.0011814004369307,1.4736113079733624e-07
1,1,200,10,inf,kron_alt,2,2,0.66,4.0,0.7,10,86522,0.01081525,596.1967573333532,0.0001112006473143,9.862263966510093e-08
2,2,200,10,inf,kron_alt,2,2,0.66,4.0,0.7,10,86524,0.0108155,609.3016199152917,4.543783701298109e-05,3.093513123590148e-07
3,3,200,10,inf,kron_alt,2,2,0.66,4.0,0.7,10,86523,0.010815375,591.1691445559263,0.0010304036902647,1.9550693458302133e-07
4,4,200,10,inf,kron_alt,2,2,0.66,4.0,0.7,10,86522,0.01081525,602.9651485811919,3.6277538497919065e-05,2.783295494830266e-08
5,5,200,10,inf,kron_alt,2,2,0.66,4.0,0.7,10,86522,0.01081525,601.7550027258694,3.129694048826658e-05,1.658483445315386e-07
6,6,200,10,inf,kron_alt,2,2,0.66,4.0,0.7,10,86522,0.01081525,587.6936873905361,7.898517751826684e-05,4.255789359061501e-07
7,7,200,10,inf,kron_alt,2,2,0.66,4.0,0.7,10,86522,0.01081525,594.8218774944544,2.09491950420558e-05,1.0790594739667165e-07
8,8,200,10,inf,kron_alt,2,2,0.66,4.0,0.7,10,86522,0.01081525,605.9268800206482,0.0001443829501059,2.8785518121140613e-08
9,9,200,10,inf,kron_alt,2,2,0.66,4.0,0.7,10,86522,0.01081525,603.2914403881878,1.4193880331428046e-05,2.2728899539489008e-08
10,0,200,20,inf,kron_alt,2,2,0.66,4.0,0.35,10,94442,0.01180525,1901.7777228280904,0.0001207930270413,0.1557186186192579
11,1,200,20,inf,kron_alt,2,2,0.66,4.0,0.35,10,94448,0.011806,1882.1253987923265,0.0010557139293962,0.2114459839909121
12,2,200,20,inf,kron_alt,2,2,0.66,4.0,0.35,10,94444,0.0118055,1873.3904996011408,0.0010791667085424,0.2458949424479115
13,3,200,20,inf,kron_alt,2,2,0.66,4.0,0.35,10,94453,0.011806625,1921.112250605598,0.0001899179631614,0.6016190553088133
14,4,200,20,inf,kron_alt,2,2,0.66,4.0,0.35,10,94443,0.011805375,1903.4946702141317,0.0014541172196592,0.0752928520596362
15,5,200,20,inf,kron_alt,2,2,0.66,4.0,0.35,10,94455,0.011806875,1920.290577687323,0.0001944985513224,0.157166352272184
16,6,200,20,inf,kron_alt,2,2,0.66,4.0,0.35,10,94443,0.011805375,1893.2539336159823,0.0078814142706156,0.1560120092390279
17,7,200,20,inf,kron_alt,2,2,0.66,4.0,0.35,10,94443,0.011805375,1937.2121794018892,0.0010310485644672,0.5206993544334007
18,8,200,20,inf,kron_alt,2,2,0.66,4.0,0.35,10,94446,0.01180575,1925.8698352593929,6.086321293791289e-05,0.1101263497050725
19,9,200,20,inf,kron_alt,2,2,0.66,4.0,0.35,10,94444,0.0118055,1937.051104446873,0.000240635253223,0.1643338380602767
20,0,200,20,inf,kron_alt,2,2,0.66,4.0,0.14,10,47387,0.005923375,1622.7840240895748,0.0068753326814812,14464.024342059216
21,1,200,20,inf,kron_alt,2,2,0.66,4.0,0.14,10,47377,0.005922125,1611.6924894824624,0.0176431188846293,3317.755739891293
22,2,200,20,inf,kron_alt,2,2,0.66,4.0,0.14,10,47360,0.00592,1596.2738598361611,0.0082870996605465,3673.990681387758
23,3,200,20,inf,kron_alt,2,2,0.66,4.0,0.14,10,47386,0.00592325,1604.1888107340783,0.0044462111019208,7747.109112278807
24,4,200,20,inf,kron_alt,2,2,0.66,4.0,0.14,10,47391,0.005923875,1608.9301247894764,0.0112827084617757,1335.5845430049576
25,5,200,20,inf,kron_alt,2,2,0.66,4.0,0.14,10,47377,0.005922125,1595.7507327254862,0.0016835765018988,159.49100005083648
26,6,200,20,inf,kron_alt,2,2,0.66,4.0,0.14,10,47365,0.005920625,1581.5789209920913,0.0022184309898514,1176.0450582869248
27,7,200,20,inf,kron_alt,2,2,0.66,4.0,0.14,10,47377,0.005922125,1587.14672687836,0.00911987465327,1358.2513187890866
28,8,200,20,inf,kron_alt,2,2,0.66,4.0,0.14,10,47385,0.005923125,1575.8325560893863,0.0045082102183172,55.81839911306412
29,9,200,20,inf,kron_alt,2,2,0.66,4.0,0.14,10,47367,0.005920875,1587.6917845793068,0.0050509194860301,12294.020529294496
30,0,200,10,inf,kron_alt,2,2,0.66,4.0,0.56,10,70817,0.008852125,643.7705376353115,0.0001363755966544,4.815258826559563e-05
31,1,200,10,inf,kron_alt,2,2,0.66,4.0,0.56,10,70819,0.008852375,645.8684259802103,3.320922051044581e-05,1.8010678469016251e-06
32,2,200,10,inf,kron_alt,2,2,0.66,4.0,0.56,10,70820,0.0088525,643.9795134235173,0.0001065142742949,8.859454777047051e-07
33,3,200,10,inf,kron_alt,2,2,0.66,4.0,0.56,10,70825,0.008853125,643.2522404678166,2.950026418821308e-05,2.5595262164024986e-07
34,4,200,10,inf,kron_alt,2,2,0.66,4.0,0.56,10,70827,0.008853375,641.2126688864082,6.559152056143652e-05,4.2030413359772053e-07
35,5,200,10,inf,kron_alt,2,2,0.66,4.0,0.56,10,70821,0.008852625,645.0620380658656,4.775550608193165e-05,9.720902390765034e-07
36,6,200,10,inf,kron_alt,2,2,0.66,4.0,0.56,10,70818,0.00885225,645.8150077909231,1.8288255893647728e-05,6.354476270472847e-07
37,7,200,10,inf,kron_alt,2,2,0.66,4.0,0.56,10,70820,0.0088525,643.0910064894706,0.0002863149244723,6.977079678246352e-07
38,8,200,10,inf,kron_alt,2,2,0.66,4.0,0.56,10,70814,0.00885175,644.3784372471273,0.0004618290292327,5.57692526190932e-07
39,9,200,10,inf,kron_alt,2,2,0.66,4.0,0.56,10,70822,0.00885275,644.7263995129615,0.0002664384132054,5.521255433656501e-07
40,0,200,5,inf,kron_alt,2,2,0.66,4.0,0.14,10,11854,0.00148175,864.5805696509778,0.0438449504263086,0.1681569302456546
41,1,200,5,inf,kron_alt,2,2,0.66,4.0,0.14,10,11854,0.00148175,904.2855604270007,0.0625469035793925,0.1644676495730417
42,2,200,5,inf,kron_alt,2,2,0.66,4.0,0.14,10,11857,0.001482125,859.6211214429932,0.0485796748580176,0.1542865608485616
43,3,200,5,inf,kron_alt,2,2,0.66,4.0,0.14,10,11854,0.00148175,864.5511013669893,0.046382963144284,0.184814696565196
44,4,200,5,inf,kron_alt,2,2,0.66,4.0,0.14,10,11853,0.001481625,856.9310876859818,0.0420240154250845,1.0612430677184572
45,5,200,5,inf,kron_alt,2,2,0.66,4.0,0.14,10,11856,0.001482,857.2012553539826,0.0318480556413185,1.0486632467600228
46,6,200,5,inf,kron_alt,2,2,0.66,4.0,0.14,10,11856,0.001482,856.14133760205,0.1475505306608104,1.0781037418791954
47,7,200,5,inf,kron_alt,2,2,0.66,4.0,0.14,10,11852,0.0014815,852.9624452301068,0.0212953474088428,1.0845983099981686
48,8,200,5,inf,kron_alt,2,2,0.66,4.0,0.14,10,11855,0.001481875,853.5014214209514,0.195697272146056,1.1240115821365435
49,9,200,5,inf,kron_alt,2,2,0.66,4.0,0.14,10,11855,0.001481875,858.0397537560202,0.0483556604523842,0.1569499246468211
50,0,200,20,inf,kron_alt,2,2,0.66,4.0,0.315,10,86599,0.010824875,1645.594103448093,0.0035239832262258,12.361729916621336
51,1,200,20,inf,kron_alt,2,2,0.66,4.0,0.315,10,86596,0.0108245,1636.668063936755,0.0001333366079245,4.40885167774198
52,2,200,20,inf,kron_alt,2,2,0.66,4.0,0.315,10,86608,0.010826,1642.9196739140898,0.0005850491542855,15.754564797596249
53,3,200,20,inf,kron_alt,2,2,0.66,4.0,0.315,10,86604,0.0108255,1631.0764721482992,0.0014442971770081,2.9866704139138487
54,4,200,20,inf,kron_alt,2,2,0.66,4.0,0.315,10,86609,0.010826125,1667.9209399875251,0.0007995125376013,35.337223090693094
55,5,200,20,inf,kron_alt,2,2,0.66,4.0,0.315,10,86587,0.010823375,1641.6471188608557,0.0001089313533326,37.20427772568126
56,6,200,20,inf,kron_alt,2,2,0.66,4.0,0.315,10,86595,0.010824375,1644.3784892335534,0.0001186187080581,3.688825548980845
57,7,200,20,inf,kron_alt,2,2,0.66,4.0,0.315,10,86593,0.010824125,1636.619704823941,0.0001657643304256,6.810686692854682
58,8,200,20,inf,kron_alt,2,2,0.66,4.0,0.315,10,86604,0.0108255,1647.327561326325,0.0001251412532649,19.34081733774302
59,9,200,20,inf,kron_alt,2,2,0.66,4.0,0.315,10,86597,0.010824625,1638.5611497052014,0.0002727227821756,3.080316887485153
60,0,200,20,inf,kron_alt,2,2,0.66,4.0,0.07,10,31695,0.003961875,1945.766053719446,0.0153278181116531,2901.6717406121275
61,1,200,20,inf,kron_alt,2,2,0.66,4.0,0.07,10,31691,0.003961375,1935.375581020489,0.0255955543948092,11808.388728114069
62,2,200,20,inf,kron_alt,2,2,0.66,4.0,0.07,10,31682,0.00396025,1970.4136151243,0.0243925400853528,12065.6159019848
63,3,200,20,inf,kron_alt,2,2,0.66,4.0,0.07,10,31684,0.0039605,1967.816486183554,0.0315309377437943,1833.7396273632544
64,4,200,20,inf,kron_alt,2,2,0.66,4.0,0.07,10,31691,0.003961375,1965.5020827539263,0.0206449486317423,3333.649109376023
65,5,200,20,inf,kron_alt,2,2,0.66,4.0,0.07,10,31683,0.003960375,1976.3966973684728,0.0214481936515309,10612.936356764358
66,6,200,20,inf,kron_alt,2,2,0.66,4.0,0.07,10,31682,0.00396025,1947.7830157279968,0.04755574250903,1613.3375574917395
67,7,200,20,inf,kron_alt,2,2,0.66,4.0,0.07,10,31695,0.003961875,1956.2294941749424,0.0369946361071502,14143.197314411384
68,8,200,20,inf,kron_alt,2,2,0.66,4.0,0.07,10,31695,0.003961875,1940.69434726052,0.020780336001322,7456.516166850505
69,9,200,20,inf,kron_alt,2,2,0.66,4.0,0.07,10,31690,0.00396125,1945.5817545354369,0.0616439458827818,370.9125783929192
70,0,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37231,0.004653875,933.5114955883472,0.003407059644751,552.4631130957193
71,1,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37223,0.004652875,934.3666731491684,0.0084460131432069,8259.541211367365
72,2,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37229,0.004653625,921.8971211668104,0.0012385606202185,241.75418326601604
73,3,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37223,0.004652875,918.2270082104952,0.005726583921479,187.98993529192305
74,4,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37234,0.00465425,925.2851106170564,0.0047254319149606,633.1420319285329
75,5,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37230,0.00465375,928.817557491362,0.0056163009401102,3563.616338363259
76,6,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37226,0.00465325,931.6575146764516,0.003092728291111,2232.397806262952
77,7,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37231,0.004653875,928.3672992680222,0.0038949206140963,159.90034048063518
78,8,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37233,0.004654125,916.7171518746763,0.0028867865678299,1551.5308452464003
79,9,200,15,inf,kron_alt,2,2,0.66,4.0,0.15,10,37233,0.004654125,931.3848290424794,0.0077307705603653,37.24880175717735
80,0,200,5,inf,kron_alt,2,2,0.66,4.0,0.56,10,35426,0.00442825,522.8997828233987,5.050981956140628e-05,9.681323852959835e-07
81,1,200,5,inf,kron_alt,2,2,0.66,4.0,0.56,10,35422,0.00442775,519.7777173202485,7.241645934014156e-05,4.743462558740959e-07
