,trial,n,r,SNR,mode,slices,alpha,beta,delta,gamma,time,rel_error,matrix budget,total budget,revealed
20,0,200,15,20.0,sandwich,2,2.0,0.66,4.0,0.32,727.6244239676744,0.010007223742598,26949,65800,0.008225
21,1,200,15,20.0,sandwich,2,2.0,0.66,4.0,0.32,659.8450576681644,0.0100000583471532,26949,65825,0.008228125
22,2,200,15,20.0,sandwich,2,2.0,0.66,4.0,0.32,594.2989677805454,0.0101454246752743,26949,65805,0.008225625
23,3,200,15,20.0,sandwich,2,2.0,0.66,4.0,0.32,595.6782365757972,0.010009047220877,26949,65822,0.00822775
24,4,200,15,20.0,sandwich,2,2.0,0.66,4.0,0.32,602.902261544019,0.0099996077614528,26949,65820,0.0082275
25,5,200,15,20.0,sandwich,2,2.0,0.66,4.0,0.32,593.891868557781,0.0100037919782422,26949,65792,0.008224
26,6,200,15,20.0,sandwich,2,2.0,0.66,4.0,0.32,591.6937121469527,0.0100267179876511,26949,65815,0.008226875
27,7,200,15,20.0,sandwich,2,2.0,0.66,4.0,0.32,604.9143435750157,0.0102118097942723,26949,65830,0.00822875
28,8,200,15,20.0,sandwich,2,2.0,0.66,4.0,0.32,586.6998104453087,0.0100034747729048,26949,65806,0.00822575
29,9,200,15,20.0,sandwich,2,2.0,0.66,4.0,0.32,600.8431618865579,0.0100025709369022,26949,65820,0.0082275
30,0,200,15,50.0,sandwich,2,2.0,0.66,4.0,0.32,607.3705376219004,0.0003144446504283,26949,65821,0.008227625
31,1,200,15,50.0,sandwich,2,2.0,0.66,4.0,0.32,589.8129317108542,0.0014286587677191,26949,65809,0.008226125
32,2,200,15,50.0,sandwich,2,2.0,0.66,4.0,0.32,575.4654887076467,0.0001344542193549,26949,65825,0.008228125
33,3,200,15,50.0,sandwich,2,2.0,0.66,4.0,0.32,581.8633324801922,0.0061143034815066,26949,65822,0.00822775
34,4,200,15,50.0,sandwich,2,2.0,0.66,4.0,0.32,577.8207628577948,6.791067497203118e-05,26949,65819,0.008227375
35,5,200,15,50.0,sandwich,2,2.0,0.66,4.0,0.32,580.84114135243,0.0001554392126197,26949,65808,0.008226
36,6,200,15,50.0,sandwich,2,2.0,0.66,4.0,0.32,584.0332986861467,0.0002480320302658,26949,65825,0.008228125
37,7,200,15,50.0,sandwich,2,2.0,0.66,4.0,0.32,580.1496617272496,0.0001263911119192,26949,65817,0.008227125
38,8,200,15,50.0,sandwich,2,2.0,0.66,4.0,0.32,578.785571878776,0.0005472758823538,26949,65797,0.008224625
39,9,200,15,50.0,sandwich,2,2.0,0.66,4.0,0.32,579.7223362959921,0.0003844595100335,26949,65818,0.00822725
50,0,200,15,60.0,sandwich,2,2.0,0.66,4.0,0.32,600.0492033213377,0.0008672584521014,26949,65813,0.008226625
51,1,200,15,60.0,sandwich,2,2.0,0.66,4.0,0.32,556.0424087475985,0.0016768459184653,26949,65820,0.0082275
52,2,200,15,60.0,sandwich,2,2.0,0.66,4.0,0.32,564.850703554228,0.0004610798231028,26949,65803,0.008225375
53,3,200,15,60.0,sandwich,2,2.0,0.66,4.0,0.32,552.2086843140423,0.000128508732316,26949,65812,0.0082265
54,4,200,15,60.0,sandwich,2,2.0,0.66,4.0,0.32,552.2749676145613,0.0006628449719513,26949,65808,0.008226
55,5,200,15,60.0,sandwich,2,2.0,0.66,4.0,0.32,550.3889841865748,0.000140902893379,26949,65812,0.0082265
56,6,200,15,60.0,sandwich,2,2.0,0.66,4.0,0.32,559.0571935996413,0.0007360107854103,26949,65826,0.00822825
57,7,200,15,60.0,sandwich,2,2.0,0.66,4.0,0.32,551.3005897402763,8.803505054486973e-05,26949,65820,0.0082275
58,8,200,15,60.0,sandwich,2,2.0,0.66,4.0,0.32,622.3154325149953,0.0002645360501172,26949,65817,0.008227125
59,9,200,15,60.0,sandwich,2,2.0,0.66,4.0,0.32,623.3224566727877,0.000264952681753,26949,65822,0.00822775
70,0,200,5,20.0,sandwich,2,2.0,0.66,4.0,0.32,790.4863560143858,0.0100021548555642,8983,21961,0.002745125
71,1,200,5,20.0,sandwich,2,2.0,0.66,4.0,0.32,550.1841528061777,0.009999586226011,8983,21953,0.002744125
72,2,200,5,20.0,sandwich,2,2.0,0.66,4.0,0.32,598.2021827157587,0.0109177142974339,8983,21961,0.002745125
73,3,200,5,20.0,sandwich,2,2.0,0.66,4.0,0.32,603.2852369789034,0.0099998837312779,8983,21961,0.002745125
74,4,200,5,20.0,sandwich,2,2.0,0.66,4.0,0.32,555.0011868961155,0.0100684360835799,8983,21958,0.00274475
75,5,200,5,20.0,sandwich,2,2.0,0.66,4.0,0.32,539.5584756415337,0.0100134654185856,8983,21961,0.002745125
76,6,200,5,20.0,sandwich,2,2.0,0.66,4.0,0.32,540.9544382765889,0.0100019122159597,8983,21954,0.00274425
77,7,200,5,20.0,sandwich,2,2.0,0.66,4.0,0.32,543.535478245467,0.0099997751644539,8983,21956,0.0027445
78,8,200,5,20.0,sandwich,2,2.0,0.66,4.0,0.32,547.0306982342154,0.0099997298489007,8983,21956,0.0027445
79,9,200,5,20.0,sandwich,2,2.0,0.66,4.0,0.32,540.6717571206391,0.0100404527418913,8983,21956,0.0027445
170,0,200,15,10.0,sandwich,2,2.0,0.66,4.0,0.32,562.7197885792702,0.0995032741388181,26949,65819,0.008227375
171,1,200,15,10.0,sandwich,2,2.0,0.66,4.0,0.32,565.7752067670226,0.099510876931813,26949,65825,0.008228125
172,2,200,15,10.0,sandwich,2,2.0,0.66,4.0,0.32,560.7819503229111,0.0995050229428497,26949,65816,0.008227
173,3,200,15,10.0,sandwich,2,2.0,0.66,4.0,0.32,564.6492385538295,0.0995484748375195,26949,65825,0.008228125
174,4,200,15,10.0,sandwich,2,2.0,0.66,4.0,0.32,559.9175409926102,0.0995084462218665,26949,65811,0.008226375
175,5,200,15,10.0,sandwich,2,2.0,0.66,4.0,0.32,561.3539230432361,0.0994956394564983,26949,65829,0.008228625
176,6,200,15,10.0,sandwich,2,2.0,0.66,4.0,0.32,562.2652661418542,0.0995104836183561,26949,65823,0.008227875
177,7,200,15,10.0,sandwich,2,2.0,0.66,4.0,0.32,565.2317429697141,0.0995029193501695,26949,65819,0.008227375
178,8,200,15,10.0,sandwich,2,2.0,0.66,4.0,0.32,562.6456644749269,0.0995056016723744,26949,65822,0.00822775
179,9,200,15,10.0,sandwich,2,2.0,0.66,4.0,0.32,566.207463638857,0.0995054861209456,26949,65812,0.0082265
210,0,200,15,30.0,sandwich,2,2.0,0.66,4.0,0.32,617.5891033094376,0.0010076444920896,26949,65827,0.008228375
211,1,200,15,30.0,sandwich,2,2.0,0.66,4.0,0.32,610.5981088392437,0.0010022622729895,26949,65822,0.00822775
212,2,200,15,30.0,sandwich,2,2.0,0.66,4.0,0.32,629.9912063870579,0.0022320099268851,26949,65817,0.008227125
213,3,200,15,30.0,sandwich,2,2.0,0.66,4.0,0.32,628.8344798963517,0.0010461799606137,26949,65816,0.008227
214,4,200,15,30.0,sandwich,2,2.0,0.66,4.0,0.32,606.5667267795652,0.0018779126464454,26949,65795,0.008224375
215,5,200,15,30.0,sandwich,2,2.0,0.66,4.0,0.32,596.0271515157074,0.0010211249772414,26949,65824,0.008228
216,6,200,15,30.0,sandwich,2,2.0,0.66,4.0,0.32,623.6531259119511,0.001035972621493,26949,65823,0.008227875
217,7,200,15,30.0,sandwich,2,2.0,0.66,4.0,0.32,727.8789941519499,0.0012679375084148,26949,65828,0.0082285
218,8,200,15,30.0,sandwich,2,2.0,0.66,4.0,0.32,730.6046589966863,0.0017694134063495,26949,65806,0.00822575
219,9,200,15,30.0,sandwich,2,2.0,0.66,4.0,0.32,730.0024168174714,0.0010882313539365,26949,65815,0.008226875
230,0,200,5,10.0,sandwich,2,2.0,0.66,4.0,0.32,786.5394626893103,0.0994963485522417,8983,21958,0.00274475
231,1,200,5,10.0,sandwich,2,2.0,0.66,4.0,0.32,551.6822276245803,0.0995063997115715,8983,21956,0.0027445
232,2,200,5,10.0,sandwich,2,2.0,0.66,4.0,0.32,602.292700316757,0.099504028501394,8983,21959,0.002744875
233,3,200,5,10.0,sandwich,2,2.0,0.66,4.0,0.32,603.1432576719671,0.0995099219290904,8983,21955,0.002744375
234,4,200,5,10.0,sandwich,2,2.0,0.66,4.0,0.32,555.6442316118628,0.0995029224311035,8983,21959,0.002744875
235,5,200,5,10.0,sandwich,2,2.0,0.66,4.0,0.32,541.734043750912,0.0995300157927548,8983,21957,0.002744625
236,6,200,5,10.0,sandwich,2,2.0,0.66,4.0,0.32,542.6379856895655,0.0995006404669908,8983,21957,0.002744625
237,7,200,5,10.0,sandwich,2,2.0,0.66,4.0,0.32,543.9666886851192,0.0995104311192355,8983,21959,0.002744875
238,8,200,5,10.0,sandwich,2,2.0,0.66,4.0,0.32,543.961580786854,0.0995038491866972,8983,21958,0.00274475
239,9,200,5,10.0,sandwich,2,2.0,0.66,4.0,0.32,544.8448206335306,0.0994985859169739,8983,21958,0.00274475
300,0,200,5,50.0,sandwich,2,2.0,0.66,4.0,0.32,525.1285620443523,5.32409375464428e-05,8983,21951,0.002743875
301,1,200,5,50.0,sandwich,2,2.0,0.66,4.0,0.32,528.3884697929025,0.0026794712227523,8983,21953,0.002744125
302,2,200,5,50.0,sandwich,2,2.0,0.66,4.0,0.32,533.8905150089413,0.0034872227942726,8983,21960,0.002745
303,3,200,5,50.0,sandwich,2,2.0,0.66,4.0,0.32,526.8441584613174,0.0007015890189777,8983,21959,0.002744875
304,4,200,5,50.0,sandwich,2,2.0,0.66,4.0,0.32,527.8495873510838,0.0005053022300181,8983,21956,0.0027445
305,5,200,5,50.0,sandwich,2,2.0,0.66,4.0,0.32,527.180113594979,0.0001031972486154,8983,21955,0.002744375
306,6,200,5,50.0,sandwich,2,2.0,0.66,4.0,0.32,527.8003968335688,0.0001930500496647,8983,21957,0.002744625
307,7,200,5,50.0,sandwich,2,2.0,0.66,4.0,0.32,529.3789071589708,3.2445910663931354e-05,8983,21955,0.002744375
308,8,200,5,50.0,sandwich,2,2.0,0.66,4.0,0.32,541.4545514881611,6.496802520561717e-05,8983,21954,0.00274425
309,9,200,5,50.0,sandwich,2,2.0,0.66,4.0,0.32,546.776502776891,0.0003248421343888,8983,21956,0.0027445
330,0,200,10,40.0,sandwich,2,2.0,0.66,4.0,0.32,533.7703370004892,0.000195722366701,17966,43891,0.005486375
331,1,200,10,40.0,sandwich,2,2.0,0.66,4.0,0.32,533.0585432760417,0.0003971582763715,17966,43900,0.0054875
332,2,200,10,40.0,sandwich,2,2.0,0.66,4.0,0.32,532.0018777325749,0.0014594559983423,17966,43898,0.00548725
333,3,200,10,40.0,sandwich,2,2.0,0.66,4.0,0.32,532.9761034417897,0.0006149208744658,17966,43890,0.00548625
334,4,200,10,40.0,sandwich,2,2.0,0.66,4.0,0.32,531.1735236290842,0.0001628614639811,17966,43898,0.00548725
335,5,200,10,40.0,sandwich,2,2.0,0.66,4.0,0.32,531.212371096015,0.000105575247632,17966,43893,0.005486625
336,6,200,10,40.0,sandwich,2,2.0,0.66,4.0,0.32,535.2987012732774,0.0001896246519332,17966,43896,0.005487
337,7,200,10,40.0,sandwich,2,2.0,0.66,4.0,0.32,532.1754476483911,0.0001160054191387,17966,43895,0.005486875
338,8,200,10,40.0,sandwich,2,2.0,0.66,4.0,0.32,536.8837452437729,0.0001263217753233,17966,43896,0.005487
339,9,200,10,40.0,sandwich,2,2.0,0.66,4.0,0.32,534.6855466943234,0.0001113315632954,17966,43902,0.00548775
340,0,200,5,40.0,sandwich,2,2.0,0.66,4.0,0.32,517.6569911073893,0.0001158533748239,8983,21960,0.002745
341,1,200,5,40.0,sandwich,2,2.0,0.66,4.0,0.32,524.5987956840545,0.0001900662270484,8983,21953,0.002744125
342,2,200,5,40.0,sandwich,2,2.0,0.66,4.0,0.32,522.2199237830937,0.0001115032457374,8983,21959,0.002744875
343,3,200,5,40.0,sandwich,2,2.0,0.66,4.0,0.32,516.7650330904871,0.0001084549766994,8983,21960,0.002745
344,4,200,5,40.0,sandwich,2,2.0,0.66,4.0,0.32,520.4632530827075,0.0004438884709083,8983,21963,0.002745375
345,5,200,5,40.0,sandwich,2,2.0,0.66,4.0,0.32,521.4519563335925,0.0001121548166429,8983,21959,0.002744875
346,6,200,5,40.0,sandwich,2,2.0,0.66,4.0,0.32,522.9269014615566,0.0001841104914459,8983,21954,0.00274425
347,7,200,5,40.0,sandwich,2,2.0,0.66,4.0,0.32,523.0412564389408,0.0001011801512278,8983,21955,0.002744375
348,8,200,5,40.0,sandwich,2,2.0,0.66,4.0,0.32,519.4302848186344,0.0013575211306154,8983,21958,0.00274475
349,9,200,5,40.0,sandwich,2,2.0,0.66,4.0,0.32,521.1495152246207,0.001683335492307,8983,21951,0.002743875
400,0,200,20,20.0,sandwich,2,2.0,0.66,4.0,0.32,803.9578141868114,0.0103305195581709,35932,87718,0.01096475
401,1,200,20,20.0,sandwich,2,2.0,0.66,4.0,0.32,479.03148813173175,0.0100032653384521,35932,87711,0.010963875
402,2,200,20,20.0,sandwich,2,2.0,0.66,4.0,0.32,512.6848488897085,0.0100957366718234,35932,87712,0.010964
403,3,200,20,20.0,sandwich,2,2.0,0.66,4.0,0.32,525.6800865177065,0.0143540187327849,35932,87729,0.010966125
404,4,200,20,20.0,sandwich,2,2.0,0.66,4.0,0.32,525.0548142809421,0.0112834681537275,35932,87724,0.0109655
405,5,200,20,20.0,sandwich,2,2.0,0.66,4.0,0.32,474.5192368030548,0.0106432681290237,35932,87710,0.01096375
406,6,200,20,20.0,sandwich,2,2.0,0.66,4.0,0.32,475.9564046729356,0.0100038860783125,35932,87710,0.01096375
407,7,200,20,20.0,sandwich,2,2.0,0.66,4.0,0.32,474.85441417247057,0.0100009039915241,35932,87709,0.010963625
408,8,200,20,20.0,sandwich,2,2.0,0.66,4.0,0.32,480.7784683033824,0.0100096202670741,35932,87732,0.0109665
409,9,200,20,20.0,sandwich,2,2.0,0.66,4.0,0.32,487.2883546706289,0.0100012195824675,35932,87707,0.010963375
420,0,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,506.32881478592753,0.0001304613195658,35932,87727,0.010965875
421,1,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,502.9364276081324,0.0006764524847188,35932,87717,0.010964625
422,2,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,508.0355669464916,0.0004084923226709,35932,87714,0.01096425
423,3,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,509.1038182303309,0.0001091512839777,35932,87732,0.0109665
424,4,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,508.0037769638002,0.0001373061666033,35932,87719,0.010964875
425,5,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,502.2323998417705,0.0020301011030729,35932,87710,0.01096375
426,6,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,505.15980472415686,0.0002206083293921,35932,87729,0.010966125
427,7,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,508.3700379077345,0.0005328821624282,35932,87732,0.0109665
428,8,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,507.1506984978914,0.0005448602592072,35932,87724,0.0109655
429,9,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,508.15449078939855,0.0002714030553707,35932,87730,0.01096625
440,0,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,632.6070921272039,0.0995054072784324,17966,43895,0.005486875
441,1,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,623.2606336120516,0.0995043618041757,17966,43892,0.0054865
442,2,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,624.4374409075826,0.0995083272949043,17966,43886,0.00548575
443,3,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,625.9396221097559,0.0995032988030304,17966,43889,0.005486125
444,4,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,630.6027373094112,0.0995003939669721,17966,43889,0.005486125
445,5,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,635.3495195973665,0.0995027355517231,17966,43896,0.005487
446,6,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,624.47339845635,0.0995028598324562,17966,43898,0.00548725
447,7,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,622.6465994678438,0.0995097303428652,17966,43896,0.005487
448,8,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,612.8528853971511,0.0995040100447614,17966,43895,0.005486875
449,9,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,635.3583954237401,0.0995047115816824,17966,43880,0.005485
460,0,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,535.2016031686217,0.0010669776958216,17966,43897,0.005487125
461,1,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,534.3540539517999,0.0010520435842874,17966,43905,0.005488125
462,2,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,534.1129133291543,0.0016156887843606,17966,43895,0.005486875
