,trial,n,r,SNR,mode,slices,alpha,beta,delta,gamma,time,rel_error,matrix budget,total budget,revealed
0,0,200,10,inf,sandwich,2,2.0,0.66,4.0,0.42,565.3507397957146,3.939574813888498e-05,23581,55122,0.00689025
1,1,200,10,inf,sandwich,2,2.0,0.66,4.0,0.42,570.3221519887447,1.834529990540097e-05,23581,55107,0.006888375
2,2,200,10,inf,sandwich,2,2.0,0.66,4.0,0.42,570.7757831383497,0.0001655132681559,23581,55116,0.0068895
3,3,200,10,inf,sandwich,2,2.0,0.66,4.0,0.42,563.7983198408037,6.109526403301767e-05,23581,55109,0.006888625
4,4,200,10,inf,sandwich,2,2.0,0.66,4.0,0.42,559.7012639306486,6.813126291520529e-05,23581,55102,0.00688775
5,5,200,10,inf,sandwich,2,2.0,0.66,4.0,0.42,558.746313476935,0.0002207176044331,23581,55119,0.006889875
6,6,200,10,inf,sandwich,2,2.0,0.66,4.0,0.42,558.6496471595019,0.0002860842420711,23581,55116,0.0068895
7,7,200,10,inf,sandwich,2,2.0,0.66,4.0,0.42,558.9058382119983,0.0002729332253408,23581,55105,0.006888125
8,8,200,10,inf,sandwich,2,2.0,0.66,4.0,0.42,557.5587749872357,0.0001188165667179,23581,55103,0.006887875
9,9,200,10,inf,sandwich,2,2.0,0.66,4.0,0.42,568.3743428401649,0.0002609080611411,23581,55122,0.00689025
40,0,200,10,inf,sandwich,2,2.0,0.66,4.0,0.28,613.0919032804668,0.0013478579668215,15720,39413,0.004926625
41,1,200,10,inf,sandwich,2,2.0,0.66,4.0,0.28,592.3705442678183,0.0001322907665127,15720,39410,0.00492625
42,2,200,10,inf,sandwich,2,2.0,0.66,4.0,0.28,589.1962496843189,3.036261511261863e-05,15720,39409,0.004926125
43,3,200,10,inf,sandwich,2,2.0,0.66,4.0,0.28,583.7254055850208,0.0002000695503408,15720,39417,0.004927125
44,4,200,10,inf,sandwich,2,2.0,0.66,4.0,0.28,593.659586397931,0.0002391876319185,15720,39409,0.004926125
45,5,200,10,inf,sandwich,2,2.0,0.66,4.0,0.28,604.7532684355974,0.0001944884600554,15720,39403,0.004925375
46,6,200,10,inf,sandwich,2,2.0,0.66,4.0,0.28,593.284321455285,0.0003549424154353,15720,39413,0.004926625
47,7,200,10,inf,sandwich,2,2.0,0.66,4.0,0.28,581.609096840024,0.0016770634996157,15720,39408,0.004926
48,8,200,10,inf,sandwich,2,2.0,0.66,4.0,0.28,586.7184654995799,0.0014439503699461,15720,39413,0.004926625
49,9,200,10,inf,sandwich,2,2.0,0.66,4.0,0.28,604.7783899176866,0.0001339656308884,15720,39412,0.0049265
60,0,200,5,inf,sandwich,2,2.0,0.66,4.0,0.56,576.891146230977,2.81794367328521e-05,15720,35424,0.004428
61,1,200,5,inf,sandwich,2,2.0,0.66,4.0,0.56,577.4887066390365,1.7925084154622512e-05,15720,35423,0.004427875
62,2,200,5,inf,sandwich,2,2.0,0.66,4.0,0.56,577.7688148680609,0.0006629542020037,15720,35423,0.004427875
63,3,200,5,inf,sandwich,2,2.0,0.66,4.0,0.56,577.4995567610022,5.345414015545308e-05,15720,35419,0.004427375
64,4,200,5,inf,sandwich,2,2.0,0.66,4.0,0.56,575.38973734295,0.001784448906111,15720,35422,0.00442775
65,5,200,5,inf,sandwich,2,2.0,0.66,4.0,0.56,576.0913187349215,1.7905929845924595e-05,15720,35424,0.004428
66,6,200,5,inf,sandwich,2,2.0,0.66,4.0,0.56,576.529342246009,3.131672994668938e-05,15720,35427,0.004428375
67,7,200,5,inf,sandwich,2,2.0,0.66,4.0,0.56,578.2893257068936,0.0008747467327269,15720,35421,0.004427625
68,8,200,5,inf,sandwich,2,2.0,0.66,4.0,0.56,578.6264058599481,1.4230971567709498e-05,15720,35416,0.004427
69,9,200,5,inf,sandwich,2,2.0,0.66,4.0,0.56,578.3207939920248,0.0001989113143598,15720,35430,0.00442875
80,0,200,10,inf,sandwich,2,2.0,0.66,4.0,0.49,624.0617128107697,6.113821148893812e-05,27511,62953,0.007869125
81,1,200,10,inf,sandwich,2,2.0,0.66,4.0,0.49,567.9679920896888,0.0003714215153397,27511,62967,0.007870875
82,2,200,10,inf,sandwich,2,2.0,0.66,4.0,0.49,564.5887544080615,0.0001656211132292,27511,62968,0.007871
83,3,200,10,inf,sandwich,2,2.0,0.66,4.0,0.49,589.7442149128765,0.0024154832468898,27511,62978,0.00787225
84,4,200,10,inf,sandwich,2,2.0,0.66,4.0,0.49,611.3500246386975,0.0002400994334644,27511,62967,0.007870875
85,5,200,10,inf,sandwich,2,2.0,0.66,4.0,0.49,610.0001350920647,0.000245757432354,27511,62968,0.007871
