,trial,n,r,SNR,mode,slices,alpha,beta,delta,gamma,max_iter,time,rel_error_sandwich,matrix budget,total budget,revealed,rel_error_post_als,rel_error_just_als
0,0,200,5,10,sand_als,2,2,0.66,4.0,0.32,100,699.670717349276,0.0995024429347311,8983,21959,0.002744875,0.0072462621416488,0.0910688740440831
1,1,200,5,10,sand_als,2,2,0.66,4.0,0.32,100,696.5401873812079,0.0995053090001741,8983,21958,0.00274475,0.0066217136628664,0.0901914404176511
2,2,200,5,10,sand_als,2,2,0.66,4.0,0.32,100,701.9743532408029,0.099502324483761,8983,21962,0.00274525,0.0061664050812874,0.0869947479512189
3,3,200,5,10,sand_als,2,2,0.66,4.0,0.32,100,702.053778346628,0.0995061327746257,8983,21957,0.002744625,0.0065973813004849,0.0883664549084388
4,4,200,5,10,sand_als,2,2,0.66,4.0,0.32,100,704.6433713492006,0.0995103891497873,8983,21961,0.002745125,0.0069887381829725,0.0903289161230938
5,5,200,5,10,sand_als,2,2,0.66,4.0,0.32,100,701.2022885549814,0.0995080940729016,8983,21957,0.002744625,0.0067394351643601,0.0902682281811212
6,6,200,5,10,sand_als,2,2,0.66,4.0,0.32,100,698.0665716566145,0.099503558967026,8983,21952,0.002744,0.0053484310754001,0.0939092607797725
7,7,200,5,10,sand_als,2,2,0.66,4.0,0.32,100,692.4765257015824,0.0995096328635763,8983,21960,0.002745,0.0068230191101905,0.0943143636073077
8,8,200,5,10,sand_als,2,2,0.66,4.0,0.32,100,692.5188642144203,0.0995016293079506,8983,21952,0.002744,0.0065637502137926,0.0868664351298388
9,9,200,5,10,sand_als,2,2,0.66,4.0,0.32,100,695.0356018282473,0.0995048318216182,8983,21957,0.002744625,0.0064638631237664,0.0939623497324436
10,0,200,5,60,sand_als,2,2,0.66,4.0,0.32,100,654.9685002360493,0.0001138839706541,8983,21961,0.002745125,1.6817158340487896e-05,0.0898625512350526
11,1,200,5,60,sand_als,2,2,0.66,4.0,0.32,100,670.318729871884,8.692277130524539e-05,8983,21954,0.00274425,9.655703311552814e-06,0.0906536497098638
12,2,200,5,60,sand_als,2,2,0.66,4.0,0.32,100,678.384940776974,8.788518952737583e-05,8983,21960,0.002745,4.4753423391357154e-05,0.0909290989929431
13,3,200,5,60,sand_als,2,2,0.66,4.0,0.32,100,738.4493125583977,0.0006052550713689,8983,21951,0.002743875,0.0002351279284745,0.0885147034669924
